Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Barbados,0,0,0,0,0,0,0,0,0,0,,
Belarus,0,0,0,0,0,0,0,0,0,0,,
Belgium,0,0,0,0,0,0,0,0,0,0,,
Belize,0,0,0,0,0,0,0,0,0,0,,
Benin,0,0,0,0,0,0,0,0,0,0,,
Bhutan,0,0,0,0,0,0,0,0,0,0,,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,,
Botswana,0,0,0,0,0,0,0,0,0,0,,
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,,
Burundi,0,0,0,0,0,0,0,0,0,0,,
Cape Verde,0,0,0,0,0,0,0,0,0,0,,
Cambodia,0,0,0,0,0,0,0,0,0,0,,
Cameroon,0,0,0,0,0,0,0,0,0,0,,
Central African Republic,0,0,0,0,0,0,0,0,0,0,,
Chad,0,0,0,0,0,0,0,0,0,0,,
Comoros,0,0,0,0,0,0,0,0,0,0,,
Republic of the Congo,0,0,0,0,0,0,0,0,0,0,,
Ivory Coast,0,0,0,0,0,0,0,0,0,0,,
Croatia,0,0,0,0,0,0,0,0,0,0,,
Cyprus,0,0,0,0,0,0,0,0,0,0,,
Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,,
Djibouti,0,0,0,0,0,0,0,0,0,0,,
Dominica,0,0,0,0,0,0,0,0,0,0,,
Dominican Republic,0,0,0,0,0,0,0,0,0,0,,
Egypt,0,0,0,0,0,0,0,0,0,0,,
El Salvador,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,,
Eritrea,0,0,0,0,0,0,0,0,0,0,,
Eswatini,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,0,0,0,0,0,0,0,0,0,0,,
Fiji,0,0,0,0,0,0,0,0,0,0,,
Gabon,0,0,0,0,0,0,0,0,0,0,,
Gambia,0,0,0,0,0,0,0,0,0,0,,
Georgia,0,0,0,0,0,0,0,0,0,0,,
Ghana,0,0,0,0,0,0,0,0,0,0,,
Greece,0,0,0,0,0,0,0,0,0,0,,
Greenland,0,0,0,0,0,0,0,0,0,0,,
Grenada,0,0,0,0,0,0,0,0,0,0,,
Guinea,0,0,0,0,0,0,0,0,0,0,,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,,
Haiti,0,0,0,0,0,0,0,0,0,0,,
Honduras,0,0,0,0,0,0,0,0,0,0,,
Hungary,0,0,0,0,0,0,0,0,0,0,,
Iceland,0,0,0,0,0,0,0,0,0,0,,
India,0,0,0,0,0,0,0,0,0,0,,
Indonesia,0,0,0,0,0,0,0,0,0,0,,
Iraq,0,0,0,0,0,0,0,0,0,0,,
Jamaica,0,0,0,0,0,0,0,0,0,0,,
Jordan,0,0,0,0,0,0,0,0,0,0,,
Kuwait,0,0,0,0,0,0,0,0,0,0,,
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,,
Laos,0,0,0,0,0,0,0,0,0,0,,
Latvia,0,0,0,0,0,0,0,0,0,0,,
Lebanon,0,0,0,0,0,0,0,0,0,0,,
Lesotho,0,0,0,0,0,0,0,0,0,0,,
Liberia,0,0,0,0,0,0,0,0,0,0,,
Libya,0,0,0,0,0,0,0,0,0,0,,
Liechtenstein,0,0,0,0,0,0,0,0,0,0,,
Lithuania,0,0,0,0,0,0,0,0,0,0,,
Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Madagascar,0,0,0,0,0,0,0,0,0,0,,
Malawi,0,0,0,0,0,0,0,0,0,0,,
Malaysia,0,0,0,0,0,0,0,0,0,0,,
Maldives,0,0,0,0,0,0,0,0,0,0,,
Mali,0,0,0,0,0,0,0,0,0,0,,
Malta,0,0,0,0,0,0,0,0,0,0,,
Mauritania,0,0,0,0,0,0,0,0,0,0,,
Mauritius,0,0,0,0,0,0,0,0,0,0,,
Mexico,0,0,0,0,0,0,0,0,0,0,,
Micronesia ,0,0,0,0,0,0,0,0,0,0,,
Monaco,0,0,0,0,0,0,0,0,0,0,,
Mongolia,0,0,0,0,0,0,0,0,0,0,,
Montenegro,0,0,0,0,0,0,0,0,0,0,,
Morocco,0,0,0,0,0,0,0,0,0,0,,
Mozambique,0,0,0,0,0,0,0,0,0,0,,
Myanmar ,0,0,0,0,0,0,0,0,0,0,,
Namibia,0,0,0,0,0,0,0,0,0,0,,
Nauru,0,0,0,0,0,0,0,0,0,0,,
Nepal,0,0,0,0,0,0,0,0,0,0,,
Nicaragua,0,0,0,0,0,0,0,0,0,0,,
Niger,0,0,0,0,0,0,0,0,0,0,,
Nigeria,0,0,0,0,0,0,0,0,0,0,,
North Macedonia,0,0,0,0,0,0,0,0,0,0,,
Oman,0,0,0,0,0,0,0,0,0,0,,
Palau,0,0,0,0,0,0,0,0,0,0,,
Panama,0,0,0,0,0,0,0,0,0,0,,
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,,
Paraguay,0,0,0,0,0,0,0,0,0,0,,
Philippines,0,0,0,0,0,0,0,0,0,0,,
Portugal,0,0,0,0,0,0,0,0,0,0,,
Qatar,0,0,0,0,0,0,0,0,0,0,,
Republic of Moldova,0,0,0,0,0,0,0,0,0,0,,
Rwanda,0,0,0,0,0,0,0,0,0,0,,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,,
Saint Lucia,0,0,0,0,0,0,0,0,0,0,,
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,,
Samoa,0,0,0,0,0,0,0,0,0,0,,
San Marino,0,0,0,0,0,0,0,0,0,0,,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,,
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,,
Senegal,0,0,0,0,0,0,0,0,0,0,,
Serbia,0,0,0,0,0,0,0,0,0,0,,
Seychelles,0,0,0,0,0,0,0,0,0,0,,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,,
Slovakia,0,0,0,0,0,0,0,0,0,0,,
Slovenia,0,0,0,0,0,0,0,0,0,0,,
Solomon Islands,0,0,0,0,0,0,0,0,0,0,,
Somalia,0,0,0,0,0,0,0,0,0,0,,
South Africa,0,0,0,0,0,0,0,0,0,0,,
South Sudan,0,0,0,0,0,0,0,0,0,0,,
Spain,0,0,0,0,0,0,0,0,0,0,,
Sri Lanka,0,0,0,0,0,0,0,0,0,0,,
Sudan,0,0,0,0,0,0,0,0,0,0,,
Suriname,0,0,0,0,0,0,0,0,0,0,,
Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,,
Tajikistan,0,0,0,0,0,0,0,0,0,0,,
Tanzania,0,0,0,0,0,0,0,0,0,0,,
Timor‑Leste,0,0,0,0,0,0,0,0,0,0,,
Togo,0,0,0,0,0,0,0,0,0,0,,
Tonga,0,0,0,0,0,0,0,0,0,0,,
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,,
Tunisia,0,0,0,0,0,0,0,0,0,0,,
Turkmenistan,0,0,0,0,0,0,0,0,0,0,,
Turkey,0,0,0,0,0,0,0,0,0,0,,
Tuvalu,0,0,0,0,0,0,0,0,0,0,,
Uganda,0,0,0,0,0,0,0,0,0,0,,
Ukraine,0,0,0,0,0,0,0,0,0,0,,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,,
Uruguay,0,0,0,0,0,0,0,0,0,0,,
Uzbekistan,0,0,0,0,0,0,0,0,0,0,,
Vanuatu,0,0,0,0,0,0,0,0,0,0,,
Venezuela ,0,0,0,0,0,0,0,0,0,0,,
Vietnam,0,0,0,0,0,0,0,0,0,0,,
Yemen,0,0,0,0,0,0,0,0,0,0,,
Zambia,0,0,0,0,0,0,0,0,0,0,,
Zimbabwe,0,0,0,0,0,0,0,0,0,0,,
