suggested_filename,used_in_topics,used_count,example_entities,pincite_preview,original_url,,
32_swedens-position-paper-on-the-application-of-international-l.pdf,nonintervention,7,Sweden,"Sweden’s Position Paper on the Application of International Law in Cyberspace , ",https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Sweden/swedens-position-paper-on-the-application-of-international-law-in-cyberspace.pdf?csf=1&web=1&e=OhgEhI,,
33_position-paper-of-the-republic-of-cuba-on-the-application-of.pdf,uof,6,Cuba,Position Paper of the Republic of Cuba on the Application of International Law t,https://tuprd-my.sharepoint.com/:w:/r/personal/tup46628_temple_edu/_layouts/15/Doc.aspx?sourcedoc=%7BCF77EE55-EC10-4A8A-88B3-FF719D0EC527%7D&file=Spanish%20to%20English%20Translation%20of%20Cuba%20National%20Position%20(2024).docx&action=default&mobileredirect=true,,
34_attorney-general-suella-braverman-international-law-in-futur.pdf,nonintervention,6,United Kingdom,"Attorney General Suella Braverman: International Law in Future Frontiers , pg. 6",https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/United%20Kingdom/United%20Kingdom_2018%20Speech.pdf?csf=1&web=1&e=dUKWnM,,
35_new-zealand-the-application-of-international-law-to-state-ac.pdf,selfdefense,6,New Zealand,"New Zealand, The Application of International Law to State Activity in Cyberspac",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/New%20Zealand/New%20Zealand%20(2025).pdf?csf=1&web=1&e=iE0MfM,,
36_basic-position-of-the-government-of-japan-on-international-l.pdf,selfdefense,4,Japan,Basic Position of the Government of Japan on International Law Applicable to Cyb,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Japan/Japan_International%20Law%20and%20Cyberspace.pdf?csf=1&web=1&e=ba8Tn2,,
37_position-paper-of-the-republic-of-cuba-on-the-application-of.pdf,nonintervention,3,Cuba,Position Paper of the Republic of Cuba on the Application of International Law t,https://tuprd-my.sharepoint.com/:w:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Cuba/Spanish%20to%20English%20Translation%20of%20Cuba%20National%20Position%20(2024).docx?d=wcf77ee55ec104a8a88b3ff719d0ec527&csf=1&web=1&e=1DNfcI,,
38_position-paper-of-the-republic-of-iran.pdf,selfdefense,3,Iran,Position Paper of the Republic of Iran,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Iran/Iran_International%20Law%20and%20Cyberspace%20(2020).pdf?csf=1&web=1&e=VGhkSO,,
39_guyana-oas-inter-american-juridical-committee-questionnaire.pdf,nonintervention,2,Guyana,OAS Inter-American Juridical Committee Questionnaire - Response by Guyana,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Guyana/Guyana%20OAS%20Response.pdf?csf=1&web=1&e=9mcJMl,,
40_oas-inter-american-juridical-committee-questionnaire---respo.pdf,sovereignty,1,Chile,OAS Inter-American Juridical Committee Questionnaire - Response by Chile,https://tuprd-my.sharepoint.com/:w:/g/personal/tup46628_temple_edu/EYdmJjfxA5RBgFmIvIvAH6kBcGLtOSwSzEsJVUHfEYKE5w?email=pekham.basu%40temple.edu&e=9rahnF,,
41_switzerlands-position-paper-on-the-application-of-internatio.pdf,sovereignty,1,Switzerland,Switzerland's position paper on the application of international law in cyberspa,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Switzerland/UNGA%20Compendium%20-%20Switzerland.pdf?csf=1&web=1&e=ve6KkS,,
42_new-zealand-application-of-international-law-to-state-activity-in-cybers.pdf,uof,1,New Zealand,"Application of International Law to State Activity in Cyberspace, pg. 2 ¶ 7(2020",https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/New%20Zealand/New%20Zealand%20Statement%20(2020).pdf?csf=1&web=1&e=hgrR8o,,
43_dod-general-counsel-remarks-at-us-cyber-commanda-legal-confe.pdf,uof,1,United States,DOD General Counsel Remarks at U.S. Cyber Commanda Legal Conference United State,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/United%20States/United%20States_2020%20Speech_DOD%20General%20Counsel%20Remarks%20at%20U.S.%20Cyber%20Command%20Legal%20Conference.pdf?csf=1&web=1&e=L0uVR1,,
44_chile-oas-inter-american-juridical-committee-questionnaire.pdf,nonintervention,1,Chile,OAS Inter-American Juridical Committee Questionnaire - Response by Chile,https://tuprd-my.sharepoint.com/:w:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Chile/Response%20by%20Chile.%20EN%20(1).DOCX?d=w3726668703f14194805988bc8bc01fa9&csf=1&web=1&e=4P3cLB,,
45_hon-caroline-krass-dod-general-counsel-remarks-at-us-cyber-c.pdf,nonintervention,1,United States,"Hon. Caroline Krass, DOD General Counsel Remarks at U.S. Cyber Command Legal Con",https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/United%20States/United%20States_2023_DOD%20General%20Counsel%20Remarks%20at%20U.S.%20Cyber%20Command%20Legal%20Conference%20_%20U.S.%20Department%20of%20Defense%20_%20Speech.pdf?csf=1&web=1&e=C0T3x1,,
46_israels-perspective-on-key-legal-and-practical-issues-concer.pdf,selfdefense,1,Israel,Israel’s Perspective on Key Legal and Practical Issues Concerning the Applicatio,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Israel/Israel%20(2020).pdf?csf=1&web=1&e=ZMKDXK,,
47_italian-position-paper-on-international-law-and-cyberspace.pdf,selfdefense,1,Italy,Italian Position Paper on International Law and Cyberspace,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Italy/Italy_International%20Law%20and%20Cyberspace.pdf?csf=1&web=1&e=Kgan9V,,
48_pakistans-position-on-the-application-of-international-law-i.pdf,selfdefense,1,Pakistan,"Pakistan’s Position on the Application of International Law in Cyberspace, ¶ 7  ",https://tuprd-my.sharepoint.com/personal/tup46628_temple_edu/_layouts/15/onedrive.aspx?csf=1&web=1&e=U1vz2r&CID=fe4b432e%2Df257%2D4a6e%2Dbfe7%2D625ec7c31bb6&FolderCTID=0x012000E09A4F249137064EA7AA87DB01A6BEC9&id=%2Fpersonal%2Ftup46628%5Ftemple%5Fedu%2FDocuments%2FiLIT%20Projects%2FiLIT%20RA%20Files%2FWorking%20Folders%20%5BActive%20Projects%5D%2FCyber%2FNational%20Cyber%20Statements%2FSource%20Materials%2FNational%20Statements%2FPakistan%2FPakistan%20%282023%29%2Epdf&parent=%2Fpersonal%2Ftup46628%5Ftemple%5Fedu%2FDocuments%2FiLIT%20Projects%2FiLIT%20RA%20Files%2FWorking%20Folders%20%5BActive%20Projects%5D%2FCyber%2FNational%20Cyber%20Statements%2FSource%20Materials%2FNational%20Statements%2FPakistan,,
49_peru-oas-inter-american-juridical-committee-questionnaire.pdf,selfdefense,1,Peru,,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Peru/OAS%20Response%20by%20Peru.EN.def.pdf?csf=1&web=1&e=Zr9k3C,,
